attendance_id,member_id,class_id,attended,member_name,age,gender,membership_type,is_active,class_name,difficulty,trainer_id,schedule_time,trainer_name,specialty,experience_years,payment_id,amount,method
1,119,14,1,Gabriel Juarez,42,Female,Quarterly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,240,800,Cash
1,119,14,1,Gabriel Juarez,42,Female,Quarterly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,241,800,Wallet
1,119,14,1,Gabriel Juarez,42,Female,Quarterly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,242,2100,Transfer
2,14,7,1,Jennifer Robinson,40,Male,Yearly,1,Pilates Core,Beginner,5,43:52.0,Cristian Santos,Zumba,3,31,7500,Transfer
3,133,12,1,Tyler Reid,31,Female,Quarterly,0,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,273,800,Transfer
3,133,12,1,Tyler Reid,31,Female,Quarterly,0,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,274,2100,Card
4,160,16,1,Natalie Meza,52,Female,Quarterly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,325,2100,Transfer
4,160,16,1,Natalie Meza,52,Female,Quarterly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,326,800,Wallet
5,161,15,1,Matthew Moore,55,Female,Quarterly,0,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,327,2100,Card
5,161,15,1,Matthew Moore,55,Female,Quarterly,0,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,328,7500,Card
6,195,2,1,Patrick Thornton,36,Female,Monthly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,396,7500,Transfer
6,195,2,1,Patrick Thornton,36,Female,Monthly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,397,7500,Card
7,53,9,1,Taylor Harris,24,Male,Monthly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,99,7500,Card
7,53,9,1,Taylor Harris,24,Male,Monthly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,100,2100,Wallet
7,53,9,1,Taylor Harris,24,Male,Monthly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,101,800,Transfer
8,141,5,1,Travis Miller,26,Female,Monthly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,290,2100,Wallet
8,141,5,1,Travis Miller,26,Female,Monthly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,291,2100,Transfer
8,141,5,1,Travis Miller,26,Female,Monthly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,292,7500,Wallet
9,74,15,1,Rita Adams,26,Female,Monthly,0,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,149,2100,Wallet
9,74,15,1,Rita Adams,26,Female,Monthly,0,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,150,7500,Wallet
10,179,16,1,Jennifer Robertson,37,Male,Yearly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,364,2100,Cash
10,179,16,1,Jennifer Robertson,37,Male,Yearly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,365,800,Cash
11,32,1,1,Kevin Hall,50,Male,Yearly,0,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,61,7500,Wallet
12,162,20,1,Aaron Hayes,23,Female,Quarterly,0,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,329,7500,Cash
12,162,20,1,Aaron Hayes,23,Female,Quarterly,0,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,330,7500,Cash
13,62,6,1,Christina Walters,27,Male,Quarterly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,121,800,Transfer
13,62,6,1,Christina Walters,27,Male,Quarterly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,122,7500,Wallet
13,62,6,1,Christina Walters,27,Male,Quarterly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,123,7500,Cash
14,80,18,1,Wesley White,31,Female,Monthly,1,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,162,800,Card
15,4,18,1,Bobby Hall,45,Female,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,6,2100,Wallet
15,4,18,1,Bobby Hall,45,Female,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,7,7500,Cash
15,4,18,1,Bobby Hall,45,Female,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,8,800,Transfer
16,105,3,1,Mark Cannon,38,Male,Yearly,1,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,210,7500,Cash
17,58,4,1,Michele Carr,28,Female,Quarterly,1,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,111,7500,Transfer
17,58,4,1,Michele Carr,28,Female,Quarterly,1,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,112,800,Card
18,119,4,1,Gabriel Juarez,42,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,240,800,Cash
18,119,4,1,Gabriel Juarez,42,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,241,800,Wallet
18,119,4,1,Gabriel Juarez,42,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,242,2100,Transfer
19,166,5,1,Maria Kerr,35,Female,Yearly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,337,800,Cash
19,166,5,1,Maria Kerr,35,Female,Yearly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,338,800,Card
19,166,5,1,Maria Kerr,35,Female,Yearly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,339,7500,Transfer
20,128,10,1,Jennifer Espinoza,36,Male,Quarterly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,260,2100,Wallet
20,128,10,1,Jennifer Espinoza,36,Male,Quarterly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,261,800,Card
21,131,9,1,Hannah Patterson,31,Male,Quarterly,1,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,268,800,Wallet
21,131,9,1,Hannah Patterson,31,Male,Quarterly,1,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,269,2100,Card
22,107,16,1,Francisco Fernandez,38,Female,Yearly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,214,7500,Card
22,107,16,1,Francisco Fernandez,38,Female,Yearly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,215,800,Wallet
22,107,16,1,Francisco Fernandez,38,Female,Yearly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,216,7500,Transfer
23,121,8,1,Joshua Cooke,32,Male,Yearly,1,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,246,800,Cash
23,121,8,1,Joshua Cooke,32,Male,Yearly,1,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,247,800,Transfer
24,117,18,1,Justin Johnson,20,Male,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,236,7500,Card
